fcs_colname,isotope,metal,antigen,marker_class
Pr141Di,141,Pr,Ki67,state
Nd142Di,142,Nd,CD19,type
Nd145Di,145,Nd,CD319_SLAM7,type
Sm147Di,147,Sm,Caspase_9_Imid,state
Nd148Di,148,Nd,BCL-xL,state
Sm149Di,149,Sm,BCL2,state
Eu151Di,151,Eu,IRF4,state
Sm152Di,152,Sm,Helios,state
Eu153Di,153,Eu,CD267_TACI,type
Sm154Di,154,Sm,Caspase_8_dex,state
Gd160Di,160,Gd,p16,state
Ho165Di,165,Ho,CD269_BCMA,type
Er168Di,168,Er,PLK1,state
Tm169Di,169,Tm,FOXM1,state
Er170Di,170,Er,CD38,type
Yb171Di,171,Yb,CD307_FcRH5,type
Yb172Di,172,Yb,p21,state
Yb174Di,174,Yb,ZFP91,state
Lu175Di,175,Lu,HDAC6,state
Yb176Di,176,Yb,myc,state
Gd156Di,156,Gd,CD274_PD-L1,type
Dy162Di,162,Dy,Aiolos,state
Er166Di,166,Er,CK1a,state
Nd144Di,144,Nd,CD81,type
Tb159Di,159,Tb,CD138,type
Dy164Di,164,Dy,CCND2,state
Nd146Di,146,Nd,MCL-1,state
Er167Di,167,Er,Birc5_survivin,state
Nd150Di,150,Nd,p53,state
Gd158Di,158,Gd,CD117,type
Dy163Di,163,Dy,BCL6,state
Nd143Di,143,Nd,Ikaros,state
Dy161Di,161,Dy,CD56,type
Gd155Di,155,Gd,CD27,type
In113Di,113,In,CyIg-K,type
In115Di,115,In,CyIg-L,type
Yb173Di,173,Yb,CD137L,type
Y89Di,89,Y,CD45,type
Bi209Di,209,Bi,GPRC5d,type
