original_cluster,new_cluster_1,new_cluster_2
1,T CELL CD4,T CELL CD4 N
2,T CELL CD4,T CELL CD4 N
3,T CELL CD4,T CELL CD4 N
4,T CELL DN,T CELL DN
5,T CELL CD8,T CELL CD8 N
6,T CELL CD8,T CELL CD8 EM/EFF
7,T CELL CD8,T CELL CD8 EM/EFF
8,T CELL DN,T CELL DN
9,T CELL CD8,T CELL CD8 EM/EFF
10,T CELL CD4,T CELL CD4 CM
11,T CELL DP,T CELL DP
12,T CELL CD8,T CELL CD8 EM/EFF
13,T CELL CD4,T CELL CD4 EM/EFF
14,T CELL CD8,T CELL CD8 EM/EFF
15,T CELL CD8,T CELL CD8 EM/EFF
16,T CELL DN,T CELL DN
17,T CELL CD8,T CELL CD8 EMRA
18,T CELL CD8,T CELL CD8 EM/EFF
19,T CELL CD4,T CELL CD4 EM/EFF
20,T CELL DN,T CELL DN
21,T CELL CD4,T CELL CD4 EM/EFF
22,T CELL CD4,T CELL CD4 EM/EFF
23,T CELL CD4,T CELL CD4 EM/EFF
24,T CELL DN,T CELL DN
25,T CELL CD4,T CELL CD4 REG
26,T CELL DN,T CELL DN
27,T CELL CD4,T CELL CD4 EM/EFF
28,T CELL CD4,T CELL CD4 EM/EFF
29,T CELL CD4,T CELL CD4 EMRA
30,T CELL DP,T CELL DP
